# Hint: check out the `eval` command in python.
{'Commute': 6.0877, 'Student-Teacher Ratio': 17.9, 'Poverty Rate': 16.2, 'TractID': 95326.0}
{'Commute': 2.55, 'TractID': 94792.0, 'Poverty Rate': 18.51, 'Student-Teacher Ratio': 20.2}
{'TractID': 54424.0, 'Student-Teacher Ratio': 19.1, 'Commute': 8.06, 'Poverty Rate': 9.67}
{'TractID': 47142.0, 'Poverty Rate': 4.73, 'Student-Teacher Ratio': 17.4, 'Commute': 4.148}
{'Student-Teacher Ratio': 18.6, 'Commute': 3.9454, 'Poverty Rate': 10.87, 'TractID': 55160.0}
{'Commute': 6.1899, 'Poverty Rate': 6.36, 'Student-Teacher Ratio': 16.6, 'TractID': 88300.0}
{'Student-Teacher Ratio': 18.6, 'Poverty Rate': 10.97, 'TractID': 94832.0, 'Commute': 4.3549}
{'TractID': 92879.0, 'Commute': 1.6475, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 26.64}
{'Commute': 2.5961, 'TractID': 49037.0, 'Student-Teacher Ratio': 16.6, 'Poverty Rate': 14.69}
{'TractID': 93604.0, 'Poverty Rate': 4.03, 'Student-Teacher Ratio': 17.8, 'Commute': 4.9671}
{'Poverty Rate': 6.75, 'Student-Teacher Ratio': 20.2, 'Commute': 6.4584, 'TractID': 70462.0}
{'Poverty Rate': 7.18, 'TractID': 57076.0, 'Commute': 5.7321, 'Student-Teacher Ratio': 17.6}
{'Poverty Rate': 4.56, 'TractID': 68143.0, 'Commute': 7.6534, 'Student-Teacher Ratio': 17.0}
{'Student-Teacher Ratio': 20.2, 'Poverty Rate': 10.74, 'TractID': 49040.0, 'Commute': 3.4242}
{'Student-Teacher Ratio': 18.9, 'TractID': 75066.0, 'Poverty Rate': 8.15, 'Commute': 6.46}
{'Commute': 2.4329, 'TractID': 49182.0, 'Poverty Rate': 12.27, 'Student-Teacher Ratio': 20.9}
{'Poverty Rate': 17.1, 'Student-Teacher Ratio': 15.2, 'TractID': 82533.0, 'Commute': 6.5921}
{'TractID': 67177.0, 'Commute': 2.73, 'Student-Teacher Ratio': 16.4, 'Poverty Rate': 18.39}
{'Student-Teacher Ratio': 18.9, 'TractID': 91951.0, 'Poverty Rate': 8.79, 'Commute': 6.497999999999999}
{'Poverty Rate': 10.45, 'Commute': 2.2565, 'TractID': 45419.0, 'Student-Teacher Ratio': 17.8}
{'TractID': 46970.0, 'Poverty Rate': 8.26, 'Commute': 4.7075, 'Student-Teacher Ratio': 21.0}
{'Student-Teacher Ratio': 17.6, 'Commute': 4.8628, 'Poverty Rate': 4.16, 'TractID': 93697.0}
{'Commute': 5.4007, 'Poverty Rate': 7.51, 'TractID': 90983.0, 'Student-Teacher Ratio': 19.0}
{'Commute': 1.9929, 'Student-Teacher Ratio': 19.1, 'TractID': 54107.0, 'Poverty Rate': 14.81}
{'Poverty Rate': 15.71, 'Student-Teacher Ratio': 15.2, 'Commute': 5.4509, 'TractID': 88146.0}
{'TractID': 89895.0, 'Student-Teacher Ratio': 20.2, 'Commute': 1.3861, 'Poverty Rate': 23.69}
{'Poverty Rate': 7.88, 'Student-Teacher Ratio': 21.0, 'Commute': 2.505, 'TractID': 68011.0}
{'Commute': 2.8944, 'Student-Teacher Ratio': 17.4, 'Poverty Rate': 4.63, 'TractID': 68606.0}
{'TractID': 45760.0, 'Commute': 2.83, 'Poverty Rate': 7.84, 'Student-Teacher Ratio': 17.8}
{'Student-Teacher Ratio': 14.9, 'TractID': 95423.0, 'Commute': 4.6947, 'Poverty Rate': 3.76}
{'Poverty Rate': 14.94, 'Commute': 2.72, 'TractID': 94633.0, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 26.4, 'TractID': 85063.0, 'Commute': 1.4547, 'Student-Teacher Ratio': 20.2}
{'Commute': 4.2579, 'Student-Teacher Ratio': 21.0, 'Poverty Rate': 14.67, 'TractID': 50391.0}
{'Poverty Rate': 7.79, 'Student-Teacher Ratio': 20.2, 'Commute': 2.5182, 'TractID': 89340.0}
{'Student-Teacher Ratio': 13.0, 'TractID': 95064.0, 'Commute': 1.8946, 'Poverty Rate': 7.79}
{'Poverty Rate': 9.47, 'Student-Teacher Ratio': 18.6, 'Commute': 3.9454, 'TractID': 87964.0}
{'Commute': 2.4358, 'Student-Teacher Ratio': 20.2, 'TractID': 48801.0, 'Poverty Rate': 18.13}
{'Poverty Rate': 5.57, 'Commute': 10.5857, 'TractID': 45894.0, 'Student-Teacher Ratio': 22.0}
{'Commute': 3.048, 'Student-Teacher Ratio': 17.4, 'TractID': 46124.0, 'Poverty Rate': 21.46}
{'Poverty Rate': 8.93, 'Commute': 3.37, 'TractID': 48093.0, 'Student-Teacher Ratio': 18.4}
{'Student-Teacher Ratio': 14.8, 'Poverty Rate': 4.74, 'TractID': 77001.0, 'Commute': 7.8278}
{'Student-Teacher Ratio': 17.4, 'TractID': 55534.0, 'Poverty Rate': 5.25, 'Commute': 3.6715}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.7028, 'TractID': 48344.0, 'Poverty Rate': 19.77}
{'TractID': 83249.0, 'Poverty Rate': 19.78, 'Commute': 1.4655, 'Student-Teacher Ratio': 20.2}
{'Student-Teacher Ratio': 18.7, 'Commute': 4.0522, 'Poverty Rate': 11.97, 'TractID': 60819.0}
{'Commute': 6.2267, 'Student-Teacher Ratio': 15.2, 'Poverty Rate': 13.27, 'TractID': 78866.0}
{'TractID': 75479.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 7.01, 'Commute': 3.4106}
{'TractID': 47610.0, 'Commute': 1.5184, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 31.99}
{'TractID': 69688.0, 'Commute': 1.639, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 20.31}
{'Commute': 2.1222, 'Poverty Rate': 17.6, 'Student-Teacher Ratio': 20.2, 'TractID': 84287.0}
{'TractID': 59097.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 18.14, 'Commute': 2.4298}
{'Student-Teacher Ratio': 15.9, 'TractID': 57121.0, 'Poverty Rate': 8.65, 'Commute': 6.2669}
{'TractID': 46697.0, 'Commute': 10.69, 'Student-Teacher Ratio': 18.3, 'Poverty Rate': 5.49}
{'Poverty Rate': 9.81, 'Commute': 2.2834, 'Student-Teacher Ratio': 14.7, 'TractID': 81441.0}
{'Commute': 2.5403, 'Poverty Rate': 21.32, 'TractID': 47193.0, 'Student-Teacher Ratio': 20.2}
{'TractID': 87280.0, 'Student-Teacher Ratio': 18.6, 'Commute': 3.87, 'Poverty Rate': 9.06}
{'TractID': 64353.0, 'Commute': 7.3073, 'Poverty Rate': 8.23, 'Student-Teacher Ratio': 15.3}
{'TractID': 90127.0, 'Student-Teacher Ratio': 17.6, 'Poverty Rate': 3.53, 'Commute': 4.0776}
{'Student-Teacher Ratio': 14.7, 'Poverty Rate': 1.73, 'Commute': 1.9709, 'TractID': 46640.0}
{'Poverty Rate': 13.44, 'Student-Teacher Ratio': 20.9, 'TractID': 60434.0, 'Commute': 2.7147}
{'Poverty Rate': 12.26, 'TractID': 94428.0, 'Student-Teacher Ratio': 21.2, 'Commute': 2.271}
{'Student-Teacher Ratio': 20.1, 'Commute': 1.8681, 'Poverty Rate': 18.07, 'TractID': 73245.0}
{'TractID': 95573.0, 'Student-Teacher Ratio': 20.2, 'Commute': 2.0218, 'Poverty Rate': 23.29}
{'Commute': 1.8172, 'TractID': 88500.0, 'Poverty Rate': 22.88, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 12.93, 'Commute': 9.0892, 'Student-Teacher Ratio': 18.2, 'TractID': 51131.0}
{'Commute': 1.5888, 'TractID': 93773.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 26.77}
{'TractID': 64760.0, 'Poverty Rate': 6.9, 'Student-Teacher Ratio': 13.0, 'Commute': 2.0107}
{'Student-Teacher Ratio': 20.2, 'Commute': 2.1036, 'TractID': 70927.0, 'Poverty Rate': 10.19}
{'Student-Teacher Ratio': 12.6, 'TractID': 54070.0, 'Commute': 7.25, 'Poverty Rate': 8.48}
{'Commute': 2.3236, 'Poverty Rate': 17.44, 'Student-Teacher Ratio': 20.2, 'TractID': 95631.0}
{'Student-Teacher Ratio': 19.2, 'TractID': 47514.0, 'Commute': 5.1167, 'Poverty Rate': 3.33}
{'Student-Teacher Ratio': 19.1, 'Poverty Rate': 9.16, 'Commute': 8.0555, 'TractID': 76098.0}
{'Poverty Rate': 19.37, 'Commute': 1.6768, 'TractID': 57872.0, 'Student-Teacher Ratio': 20.2}
{'TractID': 47324.0, 'Commute': 1.9865, 'Poverty Rate': 10.45, 'Student-Teacher Ratio': 13.0}
{'TractID': 92265.0, 'Commute': 3.8771, 'Student-Teacher Ratio': 18.6, 'Poverty Rate': 17.27}
{'Poverty Rate': 10.13, 'TractID': 45401.0, 'Student-Teacher Ratio': 19.2, 'Commute': 3.8473}
{'Poverty Rate': 5.33, 'Commute': 3.1323, 'Student-Teacher Ratio': 16.6, 'TractID': 94220.0}
{'TractID': 68494.0, 'Commute': 4.4534, 'Poverty Rate': 17.28, 'Student-Teacher Ratio': 21.0}
{'Commute': 1.8498, 'TractID': 86924.0, 'Poverty Rate': 14.59, 'Student-Teacher Ratio': 21.2}
{'Student-Teacher Ratio': 14.7, 'Commute': 2.0407, 'TractID': 87276.0, 'Poverty Rate': 1.92}
{'TractID': 95458.0, 'Student-Teacher Ratio': 17.8, 'Poverty Rate': 5.04, 'Commute': 2.8289999999999997}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.3449, 'Poverty Rate': 23.24, 'TractID': 48126.0}
{'Student-Teacher Ratio': 17.4, 'Commute': 3.2157, 'TractID': 52896.0, 'Poverty Rate': 6.36}
{'TractID': 86193.0, 'Commute': 3.7239999999999998, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 13.34}
{'Poverty Rate': 7.43, 'TractID': 53191.0, 'Commute': 6.27, 'Student-Teacher Ratio': 14.7}
{'TractID': 46052.0, 'Commute': 7.9549, 'Poverty Rate': 12.5, 'Student-Teacher Ratio': 19.1}
{'Poverty Rate': 30.93, 'Commute': 1.53, 'TractID': 81777.0, 'Student-Teacher Ratio': 20.2}
{'Commute': 6.2196, 'TractID': 81858.0, 'Poverty Rate': 5.03, 'Student-Teacher Ratio': 15.6}
{'TractID': 67657.0, 'Commute': 4.5026, 'Student-Teacher Ratio': 18.7, 'Poverty Rate': 9.1}
{'Student-Teacher Ratio': 20.2, 'Poverty Rate': 13.11, 'Commute': 1.9512, 'TractID': 68429.0}
{'Commute': 6.1899, 'Student-Teacher Ratio': 16.6, 'Poverty Rate': 7.37, 'TractID': 79115.0}
{'TractID': 63485.0, 'Commute': 4.8122, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 9.29}
{'Commute': 1.4395, 'Poverty Rate': 30.63, 'TractID': 45809.0, 'Student-Teacher Ratio': 20.2}
{'TractID': 68075.0, 'Student-Teacher Ratio': 21.1, 'Poverty Rate': 14.8, 'Commute': 7.3197}
{'TractID': 77922.0, 'Commute': 4.7211, 'Student-Teacher Ratio': 19.6, 'Poverty Rate': 7.7}
{'TractID': 72889.0, 'Poverty Rate': 13.09, 'Student-Teacher Ratio': 18.9, 'Commute': 6.497999999999999}
{'TractID': 95353.0, 'Commute': 6.4654, 'Student-Teacher Ratio': 17.6, 'Poverty Rate': 4.61}
{'TractID': 46204.0, 'Student-Teacher Ratio': 18.5, 'Commute': 4.4272, 'Poverty Rate': 12.86}
{'TractID': 94707.0, 'Poverty Rate': 14.15, 'Commute': 5.1004, 'Student-Teacher Ratio': 17.9}
{'Commute': 3.5459, 'Poverty Rate': 14.98, 'TractID': 45754.0, 'Student-Teacher Ratio': 20.2}
{'Commute': 1.92, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 14.02, 'TractID': 91608.0}
{'Commute': 10.5857, 'Poverty Rate': 8.05, 'TractID': 77520.0, 'Student-Teacher Ratio': 22.0}
{'TractID': 52059.0, 'Commute': 1.1296, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 8.88}
{'Poverty Rate': 20.45, 'Student-Teacher Ratio': 15.2, 'TractID': 45411.0, 'Commute': 6.3467}
{'Poverty Rate': 22.74, 'TractID': 64834.0, 'Student-Teacher Ratio': 20.2, 'Commute': 1.794}
{'Poverty Rate': 9.25, 'TractID': 58192.0, 'Commute': 9.2203, 'Student-Teacher Ratio': 16.4}
{'Poverty Rate': 10.12, 'Student-Teacher Ratio': 19.2, 'TractID': 54461.0, 'Commute': 5.36}
{'Student-Teacher Ratio': 17.4, 'Poverty Rate': 3.76, 'Commute': 3.3751, 'TractID': 95456.0}
{'TractID': 49538.0, 'Student-Teacher Ratio': 20.9, 'Commute': 2.77, 'Poverty Rate': 10.25}
{'Commute': 2.4091, 'Poverty Rate': 12.92, 'Student-Teacher Ratio': 19.2, 'TractID': 55097.0}
{'Student-Teacher Ratio': 20.2, 'TractID': 95314.0, 'Poverty Rate': 13.33, 'Commute': 1.5106}
{'Commute': 1.4896, 'Student-Teacher Ratio': 20.2, 'TractID': 62743.0, 'Poverty Rate': 30.59}
{'Commute': 1.7984, 'TractID': 73465.0, 'Student-Teacher Ratio': 14.7, 'Poverty Rate': 5.5}
{'Commute': 1.07, 'TractID': 45774.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 13.63}
{'TractID': 91772.0, 'Commute': 1.7659, 'Poverty Rate': 7.39, 'Student-Teacher Ratio': 14.7}
{'TractID': 64382.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 18.76, 'Commute': 2.1678}
{'Commute': 1.9682, 'TractID': 90491.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 24.08}
{'Poverty Rate': 18.46, 'TractID': 45440.0, 'Commute': 1.6687, 'Student-Teacher Ratio': 21.2}
{'Commute': 4.5404, 'Student-Teacher Ratio': 19.6, 'TractID': 89275.0, 'Poverty Rate': 6.87}
{'TractID': 91516.0, 'Commute': 2.346, 'Poverty Rate': 17.31, 'Student-Teacher Ratio': 21.2}
{'Poverty Rate': 7.83, 'TractID': 89609.0, 'Commute': 6.6407, 'Student-Teacher Ratio': 16.9}
{'Student-Teacher Ratio': 20.2, 'TractID': 68848.0, 'Poverty Rate': 18.71, 'Commute': 2.4961}
{'TractID': 53378.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 24.91, 'Commute': 2.1007}
{'TractID': 75537.0, 'Student-Teacher Ratio': 21.0, 'Poverty Rate': 13.04, 'Commute': 4.175}
{'Student-Teacher Ratio': 16.8, 'Commute': 6.8147, 'TractID': 93956.0, 'Poverty Rate': 8.43}
{'Student-Teacher Ratio': 20.2, 'TractID': 60354.0, 'Commute': 1.99, 'Poverty Rate': 22.92}
{'Poverty Rate': 4.45, 'TractID': 94100.0, 'Commute': 7.6534, 'Student-Teacher Ratio': 17.0}
{'TractID': 58741.0, 'Student-Teacher Ratio': 17.9, 'Poverty Rate': 30.81, 'Commute': 5.87}
{'TractID': 66759.0, 'Poverty Rate': 25.41, 'Student-Teacher Ratio': 19.1, 'Commute': 1.9444}
{'Poverty Rate': 13.35, 'TractID': 92305.0, 'Commute': 2.1099, 'Student-Teacher Ratio': 20.1}
{'TractID': 54744.0, 'Commute': 5.2873, 'Poverty Rate': 7.54, 'Student-Teacher Ratio': 19.2}
{'Student-Teacher Ratio': 20.2, 'Poverty Rate': 18.85, 'Commute': 1.9784, 'TractID': 50745.0}
{'Poverty Rate': 16.44, 'Student-Teacher Ratio': 20.2, 'TractID': 95136.0, 'Commute': 2.198}
{'Commute': 4.239, 'Student-Teacher Ratio': 21.0, 'Poverty Rate': 11.98, 'TractID': 48445.0}
{'TractID': 72426.0, 'Commute': 5.7209, 'Poverty Rate': 5.81, 'Student-Teacher Ratio': 17.9}
{'Poverty Rate': 23.09, 'Student-Teacher Ratio': 18.6, 'Commute': 3.875, 'TractID': 50258.0}
{'TractID': 55400.0, 'Student-Teacher Ratio': 21.0, 'Poverty Rate': 21.02, 'Commute': 3.7979}
{'Student-Teacher Ratio': 20.2, 'Poverty Rate': 13.27, 'Commute': 2.5052, 'TractID': 83962.0}
{'Commute': 3.7886, 'Poverty Rate': 6.68, 'Student-Teacher Ratio': 15.2, 'TractID': 73047.0}
{'Poverty Rate': 7.44, 'TractID': 92149.0, 'Student-Teacher Ratio': 17.9, 'Commute': 5.7209}
{'TractID': 72319.0, 'Commute': 2.0651, 'Poverty Rate': 19.52, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 37.97, 'TractID': 70108.0, 'Student-Teacher Ratio': 20.2, 'Commute': 1.137}
{'Student-Teacher Ratio': 21.0, 'Commute': 4.4619, 'TractID': 71963.0, 'Poverty Rate': 10.26}
{'Student-Teacher Ratio': 18.4, 'Commute': 3.1025, 'TractID': 63040.0, 'Poverty Rate': 9.97}
{'TractID': 82887.0, 'Poverty Rate': 23.27, 'Student-Teacher Ratio': 20.2, 'Commute': 2.1247}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.5895, 'Poverty Rate': 30.62, 'TractID': 71391.0}
{'Student-Teacher Ratio': 21.2, 'Poverty Rate': 34.41, 'TractID': 86636.0, 'Commute': 1.4394}
{'Poverty Rate': 18.66, 'Student-Teacher Ratio': 20.9, 'TractID': 67240.0, 'Commute': 2.211}
{'Poverty Rate': 7.73, 'Student-Teacher Ratio': 18.6, 'Commute': 3.9175, 'TractID': 45988.0}
{'Poverty Rate': 12.43, 'Student-Teacher Ratio': 15.2, 'Commute': 5.5605, 'TractID': 75947.0}
{'TractID': 91871.0, 'Student-Teacher Ratio': 18.0, 'Commute': 3.53, 'Poverty Rate': 3.78}
{'Commute': 2.0527, 'Poverty Rate': 17.64, 'Student-Teacher Ratio': 20.2, 'TractID': 76301.0}
{'Poverty Rate': 19.15, 'TractID': 45837.0, 'Commute': 5.9505, 'Student-Teacher Ratio': 15.2}
{'Commute': 7.0379, 'Student-Teacher Ratio': 15.5, 'TractID': 95358.0, 'Poverty Rate': 5.49}
{'Student-Teacher Ratio': 17.8, 'Poverty Rate': 7.56, 'Commute': 2.741, 'TractID': 59297.0}
{'TractID': 45552.0, 'Commute': 2.8893, 'Student-Teacher Ratio': 16.4, 'Poverty Rate': 17.92}
{'Commute': 2.0, 'TractID': 46842.0, 'Student-Teacher Ratio': 13.0, 'Poverty Rate': 10.81}
{'Commute': 2.34, 'TractID': 91888.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 18.15}
{'Student-Teacher Ratio': 21.0, 'Commute': 4.4986, 'Poverty Rate': 8.47, 'TractID': 92341.0}
{'Student-Teacher Ratio': 19.1, 'Commute': 7.8265, 'TractID': 48450.0, 'Poverty Rate': 9.52}
{'Commute': 3.0334, 'Poverty Rate': 16.29, 'Student-Teacher Ratio': 20.2, 'TractID': 50503.0}
{'TractID': 57474.0, 'Poverty Rate': 5.98, 'Commute': 2.6403, 'Student-Teacher Ratio': 18.4}
{'Commute': 10.7103, 'Poverty Rate': 5.49, 'Student-Teacher Ratio': 18.3, 'TractID': 70528.0}
{'Student-Teacher Ratio': 21.2, 'Poverty Rate': 18.34, 'TractID': 54068.0, 'Commute': 1.9799}
{'Student-Teacher Ratio': 18.2, 'Commute': 3.6659, 'TractID': 87256.0, 'Poverty Rate': 8.16}
{'Student-Teacher Ratio': 15.2, 'Poverty Rate': 29.93, 'Commute': 6.0821, 'TractID': 85088.0}
{'TractID': 58329.0, 'Poverty Rate': 13.83, 'Commute': 4.0123, 'Student-Teacher Ratio': 21.0}
{'Student-Teacher Ratio': 18.4, 'TractID': 70949.0, 'Commute': 4.0317, 'Poverty Rate': 15.94}
{'Commute': 2.3158, 'Poverty Rate': 16.22, 'Student-Teacher Ratio': 20.2, 'TractID': 46192.0}
{'Poverty Rate': 6.53, 'Student-Teacher Ratio': 19.6, 'Commute': 5.49, 'TractID': 87610.0}
{'Poverty Rate': 14.19, 'Student-Teacher Ratio': 20.2, 'Commute': 2.2955, 'TractID': 47764.0}
{'Student-Teacher Ratio': 16.9, 'Poverty Rate': 7.34, 'TractID': 45883.0, 'Commute': 5.2146}
{'Poverty Rate': 18.06, 'Commute': 1.8209, 'Student-Teacher Ratio': 20.1, 'TractID': 87912.0}
{'Student-Teacher Ratio': 20.9, 'Commute': 2.1069, 'Poverty Rate': 16.47, 'TractID': 94278.0}
{'Student-Teacher Ratio': 18.2, 'TractID': 73351.0, 'Commute': 3.615, 'Poverty Rate': 10.59}
{'TractID': 95723.0, 'Poverty Rate': 14.33, 'Commute': 2.4982, 'Student-Teacher Ratio': 19.2}
{'Commute': 1.801, 'TractID': 55913.0, 'Student-Teacher Ratio': 13.0, 'Poverty Rate': 5.12}
{'Commute': 3.4217, 'Student-Teacher Ratio': 17.8, 'Poverty Rate': 5.5, 'TractID': 81424.0}
{'Poverty Rate': 24.39, 'TractID': 52707.0, 'Commute': 1.9096, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 8.1, 'Student-Teacher Ratio': 13.0, 'TractID': 71790.0, 'Commute': 1.9301}
{'Student-Teacher Ratio': 12.6, 'TractID': 75188.0, 'Poverty Rate': 4.08, 'Commute': 7.309}
{'TractID': 72783.0, 'Poverty Rate': 18.13, 'Commute': 2.9084, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 16.74, 'TractID': 94139.0, 'Commute': 2.4527, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 11.12, 'TractID': 66823.0, 'Student-Teacher Ratio': 21.2, 'Commute': 2.3274}
{'Commute': 1.1781, 'TractID': 76709.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 23.34}
{'TractID': 77450.0, 'Poverty Rate': 12.43, 'Student-Teacher Ratio': 16.9, 'Commute': 6.6407}
{'Commute': 5.2873, 'Poverty Rate': 9.88, 'TractID': 65842.0, 'Student-Teacher Ratio': 19.2}
{'Commute': 2.1329, 'TractID': 88631.0, 'Poverty Rate': 14.79, 'Student-Teacher Ratio': 13.0}
{'Student-Teacher Ratio': 16.4, 'Poverty Rate': 6.57, 'Commute': 9.2203, 'TractID': 95443.0}
{'TractID': 80092.0, 'Poverty Rate': 11.45, 'Student-Teacher Ratio': 20.2, 'Commute': 3.1523}
{'Commute': 1.6132, 'TractID': 51507.0, 'Poverty Rate': 7.12, 'Student-Teacher Ratio': 20.2}
{'Student-Teacher Ratio': 20.2, 'TractID': 92695.0, 'Poverty Rate': 16.59, 'Commute': 2.0048}
{'Poverty Rate': 16.9, 'TractID': 46487.0, 'Student-Teacher Ratio': 21.2, 'Commute': 1.9669}
{'Poverty Rate': 6.65, 'Commute': 3.4952, 'TractID': 91746.0, 'Student-Teacher Ratio': 18.0}
{'Commute': 2.5806, 'Poverty Rate': 19.01, 'Student-Teacher Ratio': 20.2, 'TractID': 90780.0}
{'Student-Teacher Ratio': 17.4, 'Commute': 3.8384, 'Poverty Rate': 2.47, 'TractID': 94952.0}
{'TractID': 52380.0, 'Poverty Rate': 29.97, 'Student-Teacher Ratio': 20.2, 'Commute': 1.5004}
{'Poverty Rate': 27.26, 'Commute': 1.7572, 'Student-Teacher Ratio': 19.1, 'TractID': 59998.0}
{'Poverty Rate': 10.27, 'Student-Teacher Ratio': 18.7, 'TractID': 53365.0, 'Commute': 4.0905}
{'TractID': 73882.0, 'Poverty Rate': 16.96, 'Student-Teacher Ratio': 21.2, 'Commute': 2.1107}
{'Commute': 2.3053, 'TractID': 61561.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 18.68}
{'Commute': 6.4584, 'TractID': 47925.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 5.68}
{'TractID': 46085.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 12.13, 'Commute': 1.2852}
{'Commute': 4.3549, 'Student-Teacher Ratio': 18.6, 'Poverty Rate': 18.06, 'TractID': 65581.0}
{'Student-Teacher Ratio': 17.0, 'TractID': 51744.0, 'Poverty Rate': 5.99, 'Commute': 8.344}
{'TractID': 50039.0, 'Poverty Rate': 1.64, 'Commute': 1.86, 'Student-Teacher Ratio': 14.7}
{'Commute': 2.4786, 'Student-Teacher Ratio': 21.0, 'TractID': 61173.0, 'Poverty Rate': 9.67}
{'TractID': 79897.0, 'Poverty Rate': 4.69, 'Commute': 6.4798, 'Student-Teacher Ratio': 15.2}
{'Commute': 1.5331, 'Poverty Rate': 24.56, 'TractID': 83607.0, 'Student-Teacher Ratio': 20.2}
{'Commute': 3.3317, 'TractID': 91062.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 7.74}
{'TractID': 65385.0, 'Commute': 5.1004, 'Poverty Rate': 10.21, 'Student-Teacher Ratio': 17.9}
{'Poverty Rate': 9.62, 'TractID': 74712.0, 'Student-Teacher Ratio': 18.5, 'Commute': 4.7794}
{'Commute': 2.5451, 'TractID': 91252.0, 'Poverty Rate': 15.55, 'Student-Teacher Ratio': 20.9}
{'Poverty Rate': 5.68, 'TractID': 94705.0, 'Commute': 2.847, 'Student-Teacher Ratio': 17.8}
{'Student-Teacher Ratio': 14.7, 'Poverty Rate': 14.1, 'TractID': 53796.0, 'Commute': 1.618}
{'Commute': 1.3459, 'Poverty Rate': 29.29, 'TractID': 91316.0, 'Student-Teacher Ratio': 14.7}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.3325, 'TractID': 56773.0, 'Poverty Rate': 3.26}
{'Poverty Rate': 9.53, 'Commute': 2.21, 'TractID': 49797.0, 'Student-Teacher Ratio': 13.0}
{'Student-Teacher Ratio': 15.2, 'Poverty Rate': 5.1, 'Commute': 6.4798, 'TractID': 87623.0}
{'TractID': 59673.0, 'Poverty Rate': 15.79, 'Student-Teacher Ratio': 14.7, 'Commute': 1.6232}
{'Student-Teacher Ratio': 14.7, 'Poverty Rate': 14.43, 'TractID': 74730.0, 'Commute': 2.4259}
{'Student-Teacher Ratio': 18.3, 'Commute': 5.4011, 'TractID': 87855.0, 'Poverty Rate': 1.98}
{'Commute': 1.4261, 'TractID': 78341.0, 'Poverty Rate': 30.81, 'Student-Teacher Ratio': 20.2}
{'Commute': 2.8617, 'Student-Teacher Ratio': 17.4, 'TractID': 85668.0, 'Poverty Rate': 9.71}
{'Student-Teacher Ratio': 18.4, 'Poverty Rate': 7.53, 'TractID': 93547.0, 'Commute': 3.1827}
{'Poverty Rate': 6.19, 'TractID': 54423.0, 'Commute': 3.4952, 'Student-Teacher Ratio': 18.0}
{'Poverty Rate': 15.69, 'TractID': 93960.0, 'Commute': 1.9976, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 20.62, 'Student-Teacher Ratio': 20.2, 'TractID': 50993.0, 'Commute': 1.8026}
{'Student-Teacher Ratio': 13.6, 'TractID': 95168.0, 'Commute': 5.885, 'Poverty Rate': 3.16}
{'TractID': 79659.0, 'Poverty Rate': 14.13, 'Commute': 3.0665, 'Student-Teacher Ratio': 20.2}
{'Poverty Rate': 10.42, 'TractID': 46429.0, 'Commute': 4.0983, 'Student-Teacher Ratio': 20.2}
{'TractID': 92502.0, 'Poverty Rate': 10.88, 'Commute': 3.6519, 'Student-Teacher Ratio': 17.4}
{'Commute': 3.2721, 'TractID': 75644.0, 'Student-Teacher Ratio': 17.4, 'Poverty Rate': 9.93}
{'Poverty Rate': 7.19, 'Commute': 4.1403, 'Student-Teacher Ratio': 17.6, 'TractID': 52323.0}
{'TractID': 66300.0, 'Commute': 3.4952, 'Poverty Rate': 4.21, 'Student-Teacher Ratio': 18.0}
{'Poverty Rate': 12.01, 'Student-Teacher Ratio': 19.2, 'Commute': 2.3817, 'TractID': 50268.0}
{'TractID': 80951.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 17.33, 'Commute': 2.23}
